Item Code,Short Description,Category,Sub Category,Long Description,Image Name,Retail,Under $1000,$1000+,Weight,UPC,Vendor,Type
DASHCAM-DVR,1080P HD Dash Camera and Built in DVR,Hidden Camera with Built-in DVRs,,"The super high definition 1080P Dash Camera with built in DVR and 2.31 inch LCD screen is super easy to operate one touch recording with crisp clear recording quality. It doesnít help when you have a camera that records with a grainy and blurry image. The HD Dash Camera has a high performance HD chip so the video and picture quality are very clear. The camera has 170∞ viewing angle and can be operated by the internal battery which will last about 2 days on parking mode. Parking mode is a feature that looks after your car while you are away. When you are away from your car and your car is hit or moved the camera will start to automatically record for 30 seconds. It takes about 3 hours to fully charge. You can plug the unit into the cigarette lighter to charge the battery and use while the car is running. When the camera is plugged into the cigarette lighter in the car and the engine starts the camera will automatically turn on and start recording. It has a built in microphone and records audio. The camera comes with a suction cup mount for the windshield. The HD dash camera DVR has the ability to record over old footage or stop recording when SD card is full. The DVR comes with a 32GB micro SD card which will record over 6 hours video footage in H.264 format. It comes with a USB cable so you can easily download the footage to your computer for viewing and storing video footage. It also has a mini HDMI out port for viewing on an HDMI TV. The 2.31 inch LCD screen allows you to make menu adjustments playback and see what the camera is seeing. 
Features and Specs
ï Camera: HD1080P 30fps  
ï HDMI output
ï Built in Lithium rechargeable battery
ï 3.0 Mega pixels HD high quality resolution
ï 170∞ ultra-wide angle lens
ï Motion detection function
ï 30 frames per second for smooth video flow 
ï Loop recording or will stop when storage is full 
ï Display screen: 2.31î LCD
ï Video format: AVI
",Click Here for Images,50.95,30.95,29.95,0.7,747670501696,SafetyTechnology,Surveillance
DM-DOML,DUMMY DOME CAMERA WITH LED,Dummy Cameras,,"The Dome Dummy Camera with
flashing LED
 
Features a motion detection LED flashing light. Does not have a
metal mounting bracket.

Requires 2 AA batteries not included.

Specifications: Measures 4 1/2î x 2 3/4î",Click Here for Images,4,2.2,2.09,0.35,747670800409,SafetyTechnology,Surveillance
DM-IDCAM,INDOOR MOTION DETECTING DUMMY CAMERA ,Dummy Cameras,,"The indoor motion detecting
dummy camera deters any intruder
without the expense of a real surveillance
camera. It features a built in motion detector.
The dummy camera will remain still until
someone passes by then it will move back
and forth and a red light will flash. It has
a realistic appearance and comes with
mounting bracket. 

Requires 3 AAA batteries not included.

Specifications: Measures 5î x 2î x 2î",Click Here for Images,5,3.07,2.92,0.6,747670800430,SafetyTechnology,Surveillance
DM-IRCAM,IR DUMMY CAMERA WITH LED ,Dummy Cameras,,"This is a bullet style IR Dummy
Camera. It has a constant flashing red
LED light. Itís realistic looking can be
mounted just about anywhere. It has an easy
adjusting bracket so it sets up in minutes.

The batteries are easy to change by just
sliding the sun shade off and inserting 2
AA batteries (AA Batteries Not Included).

Specifications: Measures 6 11/16î x 8
1/4î x 3 1/8î",Click Here for Images,10,6.47,6.2,0.85,747670800447,SafetyTechnology,Surveillance
DM-IRCAMBLK,Bullet style IR Dummy Camera Black  ,Dummy Cameras,,"This is a bullet style IR Dummy
Camera black color. It has a constant flashing red
LED light. Itís realistic looking can be
mounted just about anywhere. It has an easy
adjusting bracket so it sets up in minutes.

The batteries are easy to change by just
sliding the sun shade off and inserting 2
AA batteries (AA Batteries Not Included).

Specifications: Measures 6 11/16î x 8
1/4î x 3 1/8î",Click Here for Images,10,6.47,6.2,0.85,747670800591,SafetyTechnology,Surveillance
DM-IRDOM,Dummy Dome Camera with LED and IR for a Real Look,Dummy Cameras,,"This is a Mini dummy camera made to look like a real IR dome surveillance camera.It has a red flashing light to help deter any criminal activity. Requires 3 AA batteries not included.Measures 3 3/4""ù x 2 7/8""",Click Here for Images,7,4.28,4.06,0.5,747670800676,SafetyTechnology,Surveillance
DM-MOTION,Indoor or outdoor motion activated dummy camera with flashing red LED light.,Dummy Cameras,,Indoor or outdoor motion activated dummy camera with flashing red LED light. When the camera detects motion from about 20 feet away it will pan side to side until motion stops in the area. It has a realistic appearance  and operates on 2 AA batteries not included. ,Click Here for Images,16,8.22,7.86,0.85,747670800638,SafetyTechnology,Surveillance
DM-SOLAR,Solar Powered Dummy Camera White ,Dummy Cameras,,Solar Powered Dummy Camera made with a quality  ABS plastic. The Dummy camera has a flashing red LED light and realistic appearance. The solar panel on the top of the unit with keep the rechargeable batteries charged so the unit will run 24/7. The Solar power dummy camera runs on 2 x AA rechargeable batteries (included). Dimensions 8 Ωî x 3 Ωî x 7î available in black and off white colors.,Click Here for Images,16,8.33,7.97,1.05,747670800607,SafetyTechnology,Surveillance
DM-SOLAR-BLK,Solar Powered Dummy Camera Black,Dummy Cameras,,Solar Powered Dummy Camera made with a quality  ABS plastic. The Dummy camera has a flashing red LED light and realistic appearance. The solar panel on the top of the unit with keep the rechargeable batteries charged so the unit will run 24/7. The Solar power dummy camera runs on 2 x AA rechargeable batteries (included). Dimensions 8 Ωî x 3 Ωî x 7î available in black and off white colors.,Click Here for Images,16,8.33,7.97,1.05,747670800621,SafetyTechnology,Surveillance
DM-WHTCM,DUMMY DOME CAMERA WITH LED AND WHITE BODY,Dummy Cameras,,"This dome dummy camera has the
look of an expensive high definition camera
and will help deter a robbery or theft. It
has a flashing LED that gives the effect the
camera is a working surveillance camera.

Requires 3 AAA batteries (not included)

Specifications: Measures 5 7/8î x 3 1/2î",Click Here for Images,5,3.13,2.97,0.55,747670800416,SafetyTechnology,Surveillance
