VendorName,VenCode,PartNumber,LongDescription,JobberPrice,Cost,UPSable,ExeterQty,TotalQty,CoreCharge,CaseQty,IsNonReturnable,ManufacturerPartNo,HazardousMaterial,Brand
BUSHWACKER,L22,4096402,CHEV EXT A FEND FLARE SET,489,361.86,TRUE,7,18,0,1,FALSE,40964-02,,BDMQ
BUSHWACKER,L22,4096502,GM OE FNDR FLARE SET OF 4,469,347.06,TRUE,1,1,0,1,FALSE,40965-02,,BDMQ
BUSHWACKER,L22,4096602,GM XTND-A-FNDR FLR SET-4,489,361.86,TRUE,5,17,0,1,FALSE,40966-02,,BDMQ
BUSHWACKER,L22,4096702,GM POCKET FNDR FLRS SET-4,499,369.26,TRUE,1,20,0,1,FALSE,40967-02,,BDMQ
BUSHWACKER,L22,4096714,GMC PKT FLR SUMMIT WH,849,628.26,TRUE,6,29,0,1,FALSE,40967-14,,BDMQ
BUSHWACKER,L22,4096734,GMC PKT FLR ONYX BLK,849,628.26,TRUE,2,9,0,1,FALSE,40967-34,,BDMQ
BUSHWACKER,L22,4096754,GMC PKT FLR QUICKSILV,849,628.26,TRUE,3,3,0,1,FALSE,40967-54,,BDMQ
BUSHWACKER,L22,4096802,GM BSS PCKT FNDR FLR ST-4,549,406.26,TRUE,3,6,0,1,FALSE,40968-02,,BDMQ
BUSHWACKER,L22,4096814,GMC BOSS PKT FLR SUMIT WH,849,628.26,TRUE,0,8,0,1,FALSE,40968-14,,BDMQ
BUSHWACKER,L22,4096834,GMC BOSS PKT FLR ONYX BLK,849,628.26,TRUE,0,3,0,1,FALSE,40968-34,,BDMQ
BUSHWACKER,L22,4096874,GMC BOSS PKT FLR SON RED,849,628.26,TRUE,0,8,0,1,FALSE,40968-74,,BDMQ
BUSHWACKER,L22,4096902,PKT FL 4PC CLRDO 62.7 15,499,369.26,TRUE,2,13,0,1,FALSE,40969-02,,BDMQ
BUSHWACKER,L22,4097002,PKT FL 4PC COLRADO 74 15,499,369.26,TRUE,0,9,0,1,FALSE,40970-02,,BDMQ
BUSHWACKER,L22,4097102,PCKT FLARE CANYON 4PC 16,499,369.26,TRUE,1,4,0,1,FALSE,40971-02,,BDMQ
BUSHWACKER,L22,4097302,'OE' STYLE FENDER FLARES,469,347.06,TRUE,2,8,0,1,FALSE,40973-02,,BDMQ
BUSHWACKER,L22,4097402,PCKT FLARE SIERRA 4PC 16,499,369.26,TRUE,6,16,0,1,FALSE,40974-02,,BDMQ
BUSHWACKER,L22,4097502,GMC EXT-A-FNDR FLR SETOF4,489,361.86,TRUE,2,9,0,1,FALSE,40975-02,,BDMQ
BUSHWACKER,L22,4097602,BOSS FLARE SIERRA 4PC 16,549,406.26,TRUE,3,13,0,1,FALSE,40976-02,,BDMQ
BUSHWACKER,L22,4097702,PCKT 4PC SLVRDO SB 14-17,549,406.26,TRUE,10,50,0,1,FALSE,40977-02,,BDMQ
BUSHWACKER,L22,4097802,FF PCKT 4PC SLVRDO 14-17,549,406.26,TRUE,4,44,0,1,FALSE,40978-02,,BDMQ
BUSHWACKER,L22,4098002,FF OE 4PC S10/BLZR 95-05,469,347.06,TRUE,0,2,0,1,FALSE,40980-02,,BDMQ
BUSHWACKER,L22,4100911,F FLR S10/15PU/BLZ/JM8294,325,240.5,TRUE,2,2,0,1,FALSE,41009-11,,BDMQ
BUSHWACKER,L22,4102411,FND FLR S10/S15 PU RR94-9,305,225.7,TRUE,3,7,0,1,FALSE,41024-11,,BDMQ
BUSHWACKER,L22,4102802,Fender Flares: 2004-2005 Chevrolet Colorado; Extend-A-Fender Fender Flares; rear set; black,305,225.7,TRUE,6,16,0,1,FALSE,41028-02,,BDMQ
BUSHWACKER,L22,4102902,Fender Flares: 2004-2005 Chevrolet Colorado; Extend-A-Fender Fender Flares; front set; black,305,225.7,TRUE,5,35,0,1,FALSE,41029-02,,BDMQ
BUSHWACKER,L22,4150202,STREET FLR,479,354.46,TRUE,0,2,0,1,FALSE,41502-02,,BDMQ
BUSHWACKER,L22,4190711,FLR SET CHV BLZR 2DR 95-9,489,361.86,TRUE,10,20,0,1,FALSE,41907-11,,BDMQ
BUSHWACKER,L22,48501,99-06 GM BED CAP W/HLS,114.3,84.58,TRUE,5,20,0,1,FALSE,48501,,BDMQ
BUSHWACKER,L22,48502,99-06 GM BED CAP NO/HLS,114.3,84.58,TRUE,6,19,0,1,FALSE,48502,,BDMQ
BUSHWACKER,L22,48503,99-06 GM BED CAP W/HLS,114.3,84.58,TRUE,8,50,0,1,FALSE,48503,,BDMQ
BUSHWACKER,L22,48504,99-06 GM BED CAP NO/HLS,114.3,84.58,TRUE,11,50,0,1,FALSE,48504,,BDMQ
BUSHWACKER,L22,48505,99-06 GM TAILGATE CAP SMT,41,30.34,TRUE,23,50,0,1,FALSE,48505,,BDMQ
BUSHWACKER,L22,48506,88-99 GM BED CAP W/HLS,114.3,84.58,TRUE,1,19,0,1,FALSE,48506,,BDMQ
BUSHWACKER,L22,48507,88-99 GM BED CAP NO/HLS,114.3,84.58,TRUE,0,3,0,1,FALSE,48507,,BDMQ
BUSHWACKER,L22,48508,88-99 GM BED CAP W/HLS,114.3,84.58,TRUE,1,17,0,1,FALSE,48508,,BDMQ
BUSHWACKER,L22,48509,88-99 GM BED CAP NO/HLS,114.3,84.58,TRUE,1,10,0,1,FALSE,48509,,BDMQ
BUSHWACKER,L22,48510,88-99 GM TAILGATE CAP SMT,41,30.34,TRUE,10,50,0,1,FALSE,48510,,BDMQ
BUSHWACKER,L22,48514,94-03 CHEV BED CAP NO/HLS,114.3,84.58,TRUE,7,16,0,1,FALSE,48514,,BDMQ
BUSHWACKER,L22,48515,94-03 GM TAILGATE CAP SMT,41,30.34,TRUE,2,15,0,1,FALSE,48515,,BDMQ
BUSHWACKER,L22,48516,07-11 GMC TAILGATE CAP OE,41,30.34,TRUE,50,50,0,1,FALSE,48516,,BDMQ
BUSHWACKER,L22,48517,BEDTAILCAP SMTH W/O STK,114.3,84.58,TRUE,4,19,0,1,FALSE,48517,,BDMQ
BUSHWACKER,L22,48518,BEDTAILCAP SMTH W/O STK,114.3,84.58,TRUE,3,20,0,1,FALSE,48518,,BDMQ
BUSHWACKER,L22,48519,BEDTAILCAP SMTH W/O STK,114.3,84.58,TRUE,6,11,0,1,FALSE,48519,,BDMQ
BUSHWACKER,L22,48520,BEDRAILCAP SMTH WITH STK,114.3,84.58,TRUE,3,20,0,1,FALSE,48520,,BDMQ
BUSHWACKER,L22,48521,BEDRAILCAP SMTH WITH STK,114.3,84.58,TRUE,10,23,0,1,FALSE,48521,,BDMQ
BUSHWACKER,L22,48522,BEDRAILCAP SMTH WITH STK,114.3,84.58,TRUE,5,13,0,1,FALSE,48522,,BDMQ
BUSHWACKER,L22,48523,BEDTAILCAP SMTH W/O STK,114.3,84.58,TRUE,2,5,0,1,FALSE,48523,,BDMQ
BUSHWACKER,L22,48524,BEDTAILCAP SMTH W/O STK,114.3,84.58,TRUE,2,9,0,1,FALSE,48524,,BDMQ
BUSHWACKER,L22,48525,BEDTAILCAP SMTH W/O STK,114.3,84.58,TRUE,1,4,0,1,FALSE,48525,,BDMQ
BUSHWACKER,L22,48526,BEDRAILCAP SMTH WITH STK,114.3,84.58,TRUE,1,3,0,1,FALSE,48526,,BDMQ
BUSHWACKER,L22,48527,BEDRAILCAP SMTH WITH STK,114.3,84.58,TRUE,2,15,0,1,FALSE,48527,,BDMQ
BUSHWACKER,L22,48528,BEDRAILCAP SMTH WITH STK,114.3,84.58,TRUE,1,1,0,1,FALSE,48528,,BDMQ
BUSHWACKER,L22,49501,99-06 GM BED CAP W/HLS,114.3,84.58,TRUE,2,12,0,1,FALSE,49501,,BDMQ
BUSHWACKER,L22,49502,99-06 GM BED CAP NO/HLS,114.3,84.58,TRUE,6,17,0,1,FALSE,49502,,BDMQ
BUSHWACKER,L22,49503,99-06 GM BED CAP W/HLS,114.3,84.58,TRUE,3,31,0,1,FALSE,49503,,BDMQ
BUSHWACKER,L22,49504,99-06 GM BED CAP NO/HLS,114.3,84.58,TRUE,5,39,0,1,FALSE,49504,,BDMQ
BUSHWACKER,L22,49505,99-06 GM TAILGATE CAP DBK,41,30.34,TRUE,26,50,0,1,FALSE,49505,,BDMQ
BUSHWACKER,L22,49506,88-99 GM BED CAP W/HLS,114.3,84.58,TRUE,3,7,0,1,FALSE,49506,,BDMQ
BUSHWACKER,L22,49508,88-99 GM BED CAP W/HLS,114.3,84.58,TRUE,5,20,0,1,FALSE,49508,,BDMQ
BUSHWACKER,L22,49510,88-99 GM TAILGATE CAP DBK,41,30.34,TRUE,6,25,0,1,FALSE,49510,,BDMQ
BUSHWACKER,L22,49514,94-03 GM BED CAP NO/HLS,114.3,84.58,TRUE,1,5,0,1,FALSE,49514,,BDMQ
BUSHWACKER,L22,49516,07-11 CHEV BED CAP NO/HLS,114.3,84.58,TRUE,8,40,0,1,FALSE,49516,,BDMQ
BUSHWACKER,L22,49517,07-11 CHEV BED CAP NO/HLS,114.3,84.58,TRUE,11,50,0,1,FALSE,49517,,BDMQ
BUSHWACKER,L22,49518,07-11 CHEV BED CAP NO/HLS,114.3,84.58,TRUE,9,49,0,1,FALSE,49518,,BDMQ
BUSHWACKER,L22,49519,07-11 CHEV BED CAP W/HLS,114.3,84.58,TRUE,9,50,0,1,FALSE,49519,,BDMQ
BUSHWACKER,L22,49520,07-11 CHEV BED CAP W/HLS,114.3,84.58,TRUE,33,50,0,1,FALSE,49520,,BDMQ
BUSHWACKER,L22,49521,07-11 CHEV BED CAP W/HLS,114.3,84.58,TRUE,8,50,0,1,FALSE,49521,,BDMQ
BUSHWACKER,L22,49522,07-11 GMC BED CAP NO/HLS,114.3,84.58,TRUE,3,19,0,1,FALSE,49522,,BDMQ
BUSHWACKER,L22,49523,07-11 GMC BED CAP NO/HLS,114.3,84.58,TRUE,30,50,0,1,FALSE,49523,,BDMQ
BUSHWACKER,L22,49524,07-11 GMC BED CAP NO/HLS,114.3,84.58,TRUE,13,25,0,1,FALSE,49524,,BDMQ
BUSHWACKER,L22,49525,07-11 GMC BED CAP W/HLS,114.3,84.58,TRUE,2,22,0,1,FALSE,49525,,BDMQ
BUSHWACKER,L22,49526,07-11 GMC BED CAP W/HLS,114.3,84.58,TRUE,21,50,0,1,FALSE,49526,,BDMQ
BUSHWACKER,L22,49527,07-11 GMC BED CAP W/HLS,114.3,84.58,TRUE,4,12,0,1,FALSE,49527,,BDMQ
BUSHWACKER,L22,5000911,FND FLR RAM PU T300PU94-9,305,225.7,TRUE,1,7,0,1,FALSE,50009-11,,BDMQ
BUSHWACKER,L22,5001011,FND FLR RAM PU T300PU94-9,305,225.7,TRUE,0,1,0,1,FALSE,50010-11,,BDMQ
BUSHWACKER,L22,5001102,FF OE FRT DODGE RAM,295,218.3,TRUE,0,6,0,1,FALSE,50011-02,,BDMQ
BUSHWACKER,L22,5001302,FT EXTD-FNDR DG RAM 2002,305,225.7,TRUE,7,42,0,1,FALSE,50013-02,,BDMQ
BUSHWACKER,L22,5001402,RR EXTD-FNDR DG RAM 2002,305,225.7,TRUE,3,10,0,1,FALSE,50014-02,,BDMQ
BUSHWACKER,L22,5001502,FT FNDR FLRS DG RAM 2002,295,218.3,TRUE,1,6,0,1,FALSE,50015-02,,BDMQ
BUSHWACKER,L22,5001602,REAR ONLY  03 DODGE 2500,295,218.3,TRUE,1,4,0,1,FALSE,50016-02,,BDMQ
BUSHWACKER,L22,5001702,PS FRNT F/F RAM P/U 02-03,315,233.1,TRUE,6,37,0,1,FALSE,50017-02,,BDMQ
BUSHWACKER,L22,5001802,PS REAR F/F RAM P/U 02-03,315,233.1,TRUE,8,27,0,1,FALSE,50018-02,,BDMQ
BUSHWACKER,L22,5002302,FENDER FLARE DODGE,295,218.3,TRUE,0,1,0,1,FALSE,50023-02,,BDMQ
BUSHWACKER,L22,5002902,FRONT RAM,315,233.1,TRUE,1,16,0,1,FALSE,50029-02,,BDMQ
BUSHWACKER,L22,5003002,POCKT FF REAR ONLY 01 RAM,315,233.1,TRUE,2,6,0,1,FALSE,50030-02,,BDMQ
BUSHWACKER,L22,5003602,'10 DGE RAM-2500/3500-RRF,305,225.7,TRUE,1,11,0,1,FALSE,50036-02,,BDMQ
BUSHWACKER,L22,5003702,POCKET STYLE 09-10 RAM 15,315,233.1,TRUE,6,17,0,1,FALSE,50037-02,,BDMQ
BUSHWACKER,L22,5003802,REAR FENDER FLARE,315,233.1,TRUE,3,31,0,1,FALSE,50038-02,,BDMQ
BUSHWACKER,L22,5004002,OE  STYLE 09-10 RAM 1500,295,218.3,TRUE,0,2,0,1,FALSE,50040-02,,BDMQ
BUSHWACKER,L22,5004302,RAM 2500/3500  2010 FRONT,295,218.3,TRUE,1,6,0,1,FALSE,50043-02,,BDMQ
BUSHWACKER,L22,5004502,RAM 2500/3500  2010 FRONT,305,225.7,TRUE,2,13,0,1,FALSE,50045-02,,BDMQ
BUSHWACKER,L22,5004702,RAM 2500/3500  2010 FRONT,315,233.1,TRUE,4,44,0,1,FALSE,50047-02,,BDMQ
BUSHWACKER,L22,5004902,OE FLARE FP SIERRA 14,295,218.3,TRUE,1,4,0,1,FALSE,50049-02,,BDMQ
BUSHWACKER,L22,5050102,ST.FLR SET DG RAM 94-00,479,289.91,TRUE,0,3,0,1,FALSE,50501-02,,BDMQ
BUSHWACKER,L22,5050402,ST FLRS (4) DG RAM 2002,479,354.46,TRUE,0,13,0,1,FALSE,50504-02,,BDMQ
BUSHWACKER,L22,5090101,FLR SET RMCG/TRLDUST81-93,489,361.86,TRUE,1,11,0,1,FALSE,50901-01,,BDMQ
BUSHWACKER,L22,5090211,Extend A Fender Flare: 1994-2001 Dodge,489,361.86,TRUE,8,10,0,1,FALSE,50902-11,,BDMQ
BUSHWACKER,L22,5090302,FLR SET DG OE STYLE 94-9,469,347.06,TRUE,20,28,0,1,FALSE,50903-02,,BDMQ
BUSHWACKER,L22,5090402,Fender Flares: 2002-2004 Dodge Pick Up Full Size 1/2 ton 2003-2004 Dodge Pick Up Full Size 3/4 ton 2003-2004 Dodge Pick Up Full Size 1 ton; Extend A Fender; 4 piece; no drill installation; paintable,489,361.86,TRUE,5,16,0,1,FALSE,50904-02,,BDMQ
BUSHWACKER,L22,5090502,FNDR FLRS (4) DG RAM 2002,469,347.06,TRUE,5,26,0,1,FALSE,50905-02,,BDMQ
BUSHWACKER,L22,5090702,Fender Flares: Various Dodge Pick Up Full Size Models; Pocket Style Fender Flares; full set; tire coverage 2.5 inches; paintable black matte finish,499,369.26,TRUE,8,50,0,1,FALSE,50907-02,,BDMQ
BUSHWACKER,L22,5090802,PCKT STYL RAM 94-01,499,369.26,TRUE,3,22,0,1,FALSE,50908-02,,BDMQ
