Item Code,Short Description,Category,Sub Category,Long Description,Image Name,Retail,Under $1000,$1000+,Weight,UPC,Vendor,Type
11027,Taser X26P Black with Laser LED 2 Live Cartridges Performance Power Magazine(battery pack) Target. ,Taser,Taser X26P,Taser X26P Black with Laser LED 2 Live Cartridges Performance Power Magazine(battery pack) Target. The TASER X26P series offers the highest take-down power available. With innovative Shaped Pulse™ and Electro-Muscular Disruption (EMD) technologies the TASER X26P temporarily overrides the central nervous system limiting muscular control. It debilitates even the most aggressive persons and is even effective on persons under the influence of drugs and/or alcohol.,Click Here for Images,1199.99,1093.42,1093.42,2.52,796430110272,SafetyTechnology,Self Defense
11501,Black Hawk Right hand Holster for the X26P,Taser,Taser X26P,The X26P Blackhawk Holster is custom crafted for the TASER X26P Defender weapon. This holster is the holster of choice for Law Enforcement officers across the globe and has a proven track record in the field. It balances comfort and functionality while providing easy access to your weapon. For an added level of usability this holster can be ordered in either left-handed or right-handed configurations. ,Click Here for Images,79.99,65.59,65.59,1,796430115017,SafetyTechnology,Self Defense
11504,Black Hawk Left hand Holster for the X26P,Taser,Taser X26P,The X26P Blackhawk Holster is custom crafted for the TASER X26P Defender weapon. This holster is the holster of choice for Law Enforcement officers across the globe and has a proven track record in the field. It balances comfort and functionality while providing easy access to your weapon. For an added level of usability this holster can be ordered in either left-handed or right-handed configurations. ,Click Here for Images,79.99,65.59,65.59,1,796430115048,SafetyTechnology,Self Defense
18650,Rechargeable 18650 4200mAh Lithium Battery,Survival Products ,Batteries,Rechargeable 18650 4200mAh Lithium Battery Works in the ST-SDFLASH and SM-FL-C,Click Here for Images,4.95,1.79,1.54,0.2,747670401767,SafetyTechnology,Self Defense
22010,Taser X2 Defender Replacement Performance Power Magazine ,Taser,Taser X2/X26P Accessories,Taser X2 Defender Replacement Performance Power Magazine ,Click Here for Images,79.99,63.99,63.99,0.6,796430220100,SafetyTechnology,Self Defense
22012,Taser X2 Tactical Replacement Performance Power Magazine ,Taser,Taser X2/X26P Accessories,Taser X2 Tactical Replacement Performance Power Magazine This unit provides extra grip and doesn't hold an extra cartridge. ,Click Here for Images,79.99,63.99,63.99,0.65,796430220124,SafetyTechnology,Self Defense
22029,Taser X2 Defender Kit Black with Laser LED 2 live Cartridges Holster PPW Target. ,Taser,Taser X2,Taser X2 Defender Kit Black with Laser LED 2 live Cartridges right handed Black Hawk Holster PPW Target. Designed by law enforcement the two-shot TASER X2 incorporates law enforcements most requested capabilities. The Taser X2 is a great home defense piece of equipment that's feature rich simple to use and similar in size to the TASER X26C. Its high performance dual LASERs improve accuracy and help take the guesswork out of aiming and have a performance power magazine that will last up to 500 firings. It has a weatherproof design to better resist rain and humidity and features self-diagnostics which tells you if the device is healthy or has a problem. The X2’s back up shot capability for multiple targets or miss recovery with has been a leading edge in the X2 technology. Its warning arc while loaded prevents conflict from escalating. ,Click Here for Images,1399.99,1259.99,1259.99,1.6,796430220223,SafetyTechnology,Self Defense
22149,Taser X2 Defender 2 Pack Replacement Cartridges 15',Taser,Taser X2 Accessories,Taser X2 Defender 2 Pack Replacement Cartridges 15',Click Here for Images,79.99,67.99,67.99,0.5,796430221497,SafetyTechnology,Self Defense
22501,Taser X2 Defender Blackhawk Right Hand Holster,Taser,Taser X2 Accessories,Taser X2 Defender Blackhawk Right Hand Holster,Click Here for Images,89.99,73.79,73.79,0.85,796430225013,SafetyTechnology,Self Defense
22504,Taser X2 Defender Blackhawk Left Hand Holster,Taser,Taser X2 Accessories,Taser X2 Defender Blackhawk Left Hand Holster,Click Here for Images,89.99,73.79,73.79,0.85,796430225044,SafetyTechnology,Self Defense
