Item #,Category,Sub Category,Product Name,Product Link,Small Image Link,Large Image Link,Size,Dimensional Size,Length,Width,Height,Weight,Color,Detail,SKU,Description,KeyFeatures,MSRP,MAP,Price
84-002              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84002.jpg,https://www.foxoutdoor.com/item_images_lg/84002.jpg,                                                  ,,,,,0.15,,USA Army*,99598840026,3' X 5' USA / ARMY FLAG                               , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,11.95,9.95,4.5
84-003              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84003.jpg,https://www.foxoutdoor.com/item_images_lg/84003.jpg,                                                  ,,,,,0.15,,USA Navy*,99598840031,3' X 5' USA / NAVY FLAG                               , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,11.95,9.95,4.5
84-004              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84004.jpg,https://www.foxoutdoor.com/item_images_lg/84004.jpg,                                                  ,,,,,0.15,,USA Air Force*,99598840044,3' X 5' USA / AIR FORCE FLAG                          , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,11.95,9.95,4.5
84-005              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84005.jpg,https://www.foxoutdoor.com/item_images_lg/84005.jpg,                                                  ,,,,,0.15,,USA Marines,99598840051,3' X 5' USA / MARINE FLAG                             , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-007              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84007.jpg,https://www.foxoutdoor.com/item_images_lg/84007.jpg,                                                  ,,,,,0.15,,POW/MIA-USA,99598840075,3' X 5' POW / MIA-USA FLAG                            , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,10.95,8.95,4.25
84-008              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84008.jpg,https://www.foxoutdoor.com/item_images_lg/84008.jpg,                                                  ,,,,,0.15,,USA Eagle,99598840082,3' X 5' USA EAGLE FLAG                                , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,10.95,8.95,4.25
84-01               ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/8401.jpg,https://www.foxoutdoor.com/item_images_lg/8401.jpg,                                                  ,,,,,0.15,,U.S.A.,99598840105,3' X 5' USA FLAG                                      , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,10.95,8.95,4.25
84-011              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84011.jpg,https://www.foxoutdoor.com/item_images_lg/84011.jpg,                                                  ,,,,,0.15,,Land of the Free                                                                                    ,8.22E+11,3' X 5' LAND OF THE FREE FLAG                         , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,10.95,8.95,4.25
84-012              ,Essentials,Flags,Flag Pole Set,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=764,https://www.foxoutdoor.com/item_images_sm/84012.jpg,https://www.foxoutdoor.com/item_images_lg/84012.jpg,                                                  ,,,,,0.4,,Silver,99598840129,FLAG POLE SET - SILVER                                , Bracket. Mounting hardware. Decorative eagle,24.95,19.95,9.9
84-0132             ,Essentials,Flags,Deluxe Car Window Flag,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=760,https://www.foxoutdoor.com/item_images_sm/840132.jpg,https://www.foxoutdoor.com/item_images_lg/840132.jpg,                                                  ,,12,18,,0.1,,Army*,8.22E+11,CAR FLAG - ARMY                                       , 1-ply construction. White plastic pole,16.95,13.95,6.5
